total_receive,total_send,total_compute,timestamp
16637,17350,15304,818664.0
16640,17353,15307,818764.0
16679,17392,15345,820164.0
16690,17403,15356,820564.0
16731,17446,15395,822064.0
16752,17468,15415,822864.0
16755,17471,15418,822964.0
16757,17473,15420,823064.0
16774,17490,15436,823664.0
16777,17493,15439,823764.0
16808,17525,15468,824964.0
16846,17565,15503,826364.0
16851,17571,15508,826564.0
16876,17595,15532,827464.0
16889,17606,15541,827864.0
16910,17628,15562,828664.0
16918,17636,15569,828964.0
16923,17641,15573,829164.0
16971,17689,15616,830964.0
17045,17765,15685,833664.0
17070,17790,15709,834564.0
17072,17793,15710,834664.0
17104,17827,15738,835864.0
17110,17833,15744,836064.0
17136,17858,15768,837064.0
17146,17868,15777,837464.0
17154,17875,15784,837764.0
17170,17892,15800,838364.0
17173,17895,15802,838464.0
17182,17907,15810,838864.0
17192,17917,15820,839264.0
17212,17938,15840,840264.0
17216,17942,15844,840464.0
17231,17959,15858,841364.0
17242,17971,15868,842064.0
17243,17973,15868,842164.0
17272,18004,15893,843864.0
17273,18005,15894,843964.0
17276,18008,15896,844164.0
17298,18031,15917,845664.0
17299,18032,15918,845764.0
17304,18038,15923,846164.0
17305,18039,15923,846264.0
17311,18045,15929,846664.0
17312,18046,15930,846764.0
17313,18047,15931,846864.0
17317,18051,15935,847164.0
17320,18054,15937,847364.0
17326,18060,15943,847864.0
17329,18062,15946,848064.0
17342,18075,15958,849064.0
17343,18076,15959,849164.0
17350,18083,15966,849764.0
17354,18087,15969,850064.0
17355,18088,15970,850164.0
17356,18089,15971,850264.0
17357,18090,15972,850364.0
17358,18091,15973,850464.0
17367,18100,15982,851264.0
17368,18101,15983,851364.0
17369,18102,15984,851464.0
17381,18114,15995,852464.0
17386,18119,16000,852964.0
17387,18120,16001,853064.0
17388,18121,16002,853164.0
17389,18122,16003,853264.0
17390,18123,16004,853364.0
17396,18128,16009,853864.0
17404,18136,16017,854664.0
17405,18137,16018,854764.0
17409,18141,16022,855164.0
17410,18142,16022,855264.0
17411,18143,16023,855364.0
17413,18146,16024,855664.0
17413,18147,16024,855764.0
17415,18149,16026,855964.0
17416,18150,16027,856064.0
17426,18159,16037,857064.0
17431,18164,16042,857564.0
17432,18165,16043,857664.0
17433,18166,16044,857764.0
17434,18168,16045,857964.0
17435,18169,16046,858064.0
17438,18171,16049,858364.0
17440,18173,16050,858564.0
17441,18174,16051,858664.0
17442,18175,16052,858764.0
17442,18176,16052,858864.0
17446,18180,16055,859264.0
17450,18183,16058,859664.0
17450,18184,16058,859764.0
17453,18187,16061,860064.0
17454,18188,16062,860164.0
17455,18189,16063,860264.0
17456,18190,16064,860364.0
17458,18191,16066,860564.0
17458,18192,16066,860664.0
17459,18193,16066,860764.0
17461,18196,16067,861064.0
17462,18197,16068,861164.0
17463,18198,16069,861364.0
17464,18199,16070,861464.0
17467,18203,16073,861864.0
17468,18203,16074,861964.0
17468,18204,16074,862064.0
17469,18205,16074,862164.0
17470,18206,16075,862264.0
17472,18208,16077,862464.0
17472,18209,16077,862564.0
17474,18210,16079,862764.0
17476,18212,16081,862964.0
17480,18216,16085,863464.0
17481,18217,16086,863564.0
17482,18219,16087,863764.0
17483,18220,16088,863864.0
17486,18223,16091,864264.0
17487,18224,16092,864364.0
17488,18224,16092,864464.0
17489,18226,16093,864664.0
17490,18227,16094,864764.0
17491,18228,16095,864964.0
17494,18230,16098,865264.0
17495,18232,16099,865464.0
17496,18233,16100,865564.0
17497,18234,16101,865764.0
17499,18236,16103,865964.0
17500,18236,16104,866064.0
17500,18237,16104,866164.0
17501,18238,16105,866264.0
17502,18240,16106,866564.0
17502,18241,16106,866664.0
17503,18241,16106,866764.0
17504,18243,16107,866964.0
17506,18244,16109,867164.0
17508,18246,16111,867464.0
17511,18250,16114,867964.0
17513,18252,16116,868264.0
17514,18253,16117,868464.0
17516,18254,16119,868664.0
17516,18255,16119,868764.0
17518,18256,16121,868964.0
17520,18259,16123,869364.0
17521,18260,16124,869464.0
17522,18261,16125,869564.0
17523,18262,16126,869764.0
17524,18263,16127,869964.0
17525,18265,16128,870164.0
17526,18265,16129,870264.0
17529,18268,16132,870664.0
17531,18271,16134,871064.0
17532,18272,16135,871264.0
17533,18273,16136,871364.0
17534,18274,16137,871564.0
17535,18275,16138,871664.0
17536,18276,16139,871864.0
17537,18277,16140,871964.0
17538,18278,16141,872164.0
17539,18279,16142,872264.0
17540,18280,16143,872464.0
17541,18281,16144,872564.0
17541,18281,16144,872664.0
17544,18284,16147,873064.0
17545,18285,16148,873164.0
17545,18286,16148,873264.0
17546,18286,16149,873364.0
17549,18290,16152,873864.0
17550,18290,16153,873964.0
17551,18292,16154,874164.0
17553,18293,16156,874364.0
17553,18294,16156,874464.0
17554,18294,16157,874564.0
17555,18295,16158,874664.0
17555,18296,16158,874764.0
17556,18297,16159,874864.0
17557,18298,16160,875064.0
17558,18299,16161,875164.0
17559,18300,16162,875364.0
17560,18302,16163,875564.0
17561,18302,16164,875664.0
17562,18303,16165,875764.0
17564,18305,16167,876064.0
17565,18306,16168,876164.0
17566,18308,16169,876364.0
17569,18311,16172,876864.0
17570,18311,16173,876964.0
17570,18312,16173,877064.0
17570,18313,16173,877164.0
17572,18314,16174,877364.0
17573,18315,16175,877464.0
17574,18316,16176,877664.0
17575,18317,16177,877764.0
17579,18322,16181,878364.0
17581,18324,16182,878664.0
17582,18325,16182,878764.0
17583,18325,16183,878864.0
17586,18328,16186,879264.0
17586,18329,16186,879364.0
17587,18330,16187,879464.0
17588,18330,16188,879564.0
17589,18332,16189,879764.0
17590,18333,16190,879864.0
17591,18334,16191,880064.0
17594,18337,16194,880464.0
17595,18338,16195,880564.0
17596,18339,16196,880764.0
17599,18342,16199,881164.0
17600,18343,16200,881264.0
17601,18343,16201,881364.0
17605,18348,16205,881964.0
17606,18349,16206,882064.0
17607,18349,16207,882164.0
17610,18352,16210,882564.0
17612,18355,16212,882864.0
17613,18355,16213,882964.0
17615,18358,16215,883264.0
17616,18358,16216,883364.0
17617,18359,16217,883464.0
17619,18361,16219,883764.0
17620,18362,16220,883864.0
17621,18364,16221,884064.0
17622,18364,16222,884164.0
17623,18365,16223,884264.0
17624,18366,16224,884364.0
17625,18368,16225,884564.0
17626,18368,16226,884664.0
17627,18369,16227,884764.0
17628,18370,16228,884864.0
17630,18372,16229,885064.0
17631,18372,16230,885164.0
17631,18373,16230,885264.0
17632,18374,16231,885364.0
17633,18375,16232,885464.0
17635,18376,16234,885664.0
17636,18378,16235,885864.0
17637,18379,16236,885964.0
17639,18381,16238,886164.0
17640,18381,16239,886264.0
17641,18382,16240,886364.0
17642,18383,16241,886464.0
17643,18384,16242,886664.0
17644,18385,16243,886764.0
17645,18386,16244,886864.0
17645,18387,16244,886964.0
17647,18389,16246,887164.0
17648,18390,16247,887264.0
17648,18390,16247,887364.0
17648,18391,16247,887464.0
17649,18392,16247,887564.0
17650,18393,16248,887664.0
17652,18394,16250,887864.0
17654,18397,16252,888164.0
17655,18398,16253,888264.0
17656,18399,16254,888364.0
17657,18399,16255,888464.0
17659,18401,16257,888664.0
17661,18404,16259,888964.0
17662,18405,16260,889064.0
17664,18407,16262,889264.0
17668,18411,16266,889764.0
17669,18412,16266,889864.0
17673,18416,16270,890264.0
17674,18416,16271,890364.0
17675,18417,16272,890464.0
17677,18419,16274,890664.0
17686,18428,16283,891664.0
17687,18429,16284,891764.0
17688,18430,16285,891864.0
17693,18435,16289,892464.0
17694,18436,16290,892564.0
17698,18440,16294,892964.0
17699,18441,16295,893064.0
17701,18444,16296,893364.0
17702,18446,16297,893564.0
