receive_from_1,receive_from_2,receive_from_3,receive_from_4,compute_from_1,compute_from_2,compute_from_3,compute_from_4,total_receive,total_send,total_compute,receive_error,compute_error,timestamp
4106,997,0,3441,2614,755,0,3136,8556,15694,6505,12,5,938919.0
4106,997,0,3443,2614,755,0,3138,8558,15696,6507,12,5,939019.0
4106,997,0,3444,2614,755,0,3139,8559,15697,6508,12,5,939119.0
4106,997,0,3445,2614,755,0,3140,8560,15699,6509,12,5,939219.0
4106,997,0,3447,2614,755,0,3141,8562,15700,6510,12,5,939319.0
4106,997,0,3448,2614,755,0,3142,8563,15702,6511,12,5,939419.0
4106,997,0,3450,2614,755,0,3144,8565,15704,6513,12,5,939519.0
4106,997,0,3451,2614,755,0,3144,8566,15705,6513,12,5,939619.0
4106,997,0,3452,2614,755,0,3144,8567,15707,6513,12,5,939719.0
4106,997,0,3454,2614,755,0,3146,8569,15709,6515,12,5,939819.0
4106,997,0,3455,2614,755,0,3147,8570,15710,6516,12,5,939919.0
4106,997,0,3455,2614,755,0,3147,8570,15712,6516,12,5,940019.0
4106,997,0,3456,2614,755,0,3147,8571,15714,6516,12,5,940119.0
4106,997,0,3456,2614,755,0,3147,8571,15715,6516,12,5,940219.0
4106,997,0,3458,2614,755,0,3148,8573,15717,6517,12,5,940319.0
4106,997,0,3458,2614,755,0,3148,8573,15718,6517,12,5,940419.0
4106,997,0,3459,2614,755,0,3148,8574,15720,6517,12,5,940519.0
4106,997,0,3459,2614,755,0,3148,8574,15722,6517,12,5,940619.0
4106,997,0,3460,2614,755,0,3148,8575,15723,6517,12,5,940719.0
4106,997,0,3462,2614,755,0,3150,8577,15725,6519,12,5,940819.0
4106,997,0,3462,2614,755,0,3150,8577,15726,6519,12,5,940919.0
4106,997,0,3463,2614,755,0,3150,8578,15728,6519,12,5,941019.0
4106,997,0,3463,2614,755,0,3150,8578,15730,6519,12,5,941119.0
4106,997,0,3464,2614,755,0,3150,8579,15732,6519,12,5,941219.0
