receive_from_1,receive_from_2,receive_from_3,receive_from_4,compute_from_1,compute_from_2,compute_from_3,compute_from_4,total_receive,total_send,total_compute,timestamp
0,23865,0,0,0,20868,0,0,23865,33205,20868,979495.0
0,23869,0,0,0,20871,0,0,23869,33210,20871,979595.0
0,23871,0,0,0,20873,0,0,23871,33214,20873,979695.0
0,23874,0,0,0,20876,0,0,23874,33218,20876,979795.0
0,23876,0,0,0,20878,0,0,23876,33221,20878,979895.0
0,23879,0,0,0,20881,0,0,23879,33225,20881,979995.0
0,23881,0,0,0,20882,0,0,23881,33228,20882,980095.0
0,23884,0,0,0,20885,0,0,23884,33231,20885,980195.0
0,23886,0,0,0,20886,0,0,23886,33233,20886,980295.0
0,23889,0,0,0,20889,0,0,23889,33238,20889,980395.0
0,23890,0,0,0,20890,0,0,23890,33241,20890,980495.0
0,23893,0,0,0,20893,0,0,23893,33244,20893,980595.0
0,23896,0,0,0,20896,0,0,23896,33246,20896,980695.0
0,23898,0,0,0,20898,0,0,23898,33250,20898,980795.0
0,23899,0,0,0,20898,0,0,23899,33252,20898,980895.0
0,23901,0,0,0,20900,0,0,23901,33255,20900,980995.0
0,23903,0,0,0,20902,0,0,23903,33259,20902,981095.0
0,23906,0,0,0,20904,0,0,23906,33263,20904,981195.0
0,23908,0,0,0,20906,0,0,23908,33265,20906,981295.0
0,23910,0,0,0,20907,0,0,23910,33268,20907,981395.0
0,23913,0,0,0,20910,0,0,23913,33272,20910,981495.0
0,23915,0,0,0,20912,0,0,23915,33274,20912,981595.0
0,23919,0,0,0,20915,0,0,23919,33279,20915,981695.0
0,23922,0,0,0,20917,0,0,23922,33282,20917,981795.0
0,23923,0,0,0,20917,0,0,23923,33284,20917,981895.0
0,23926,0,0,0,20920,0,0,23926,33289,20920,981995.0
0,23927,0,0,0,20920,0,0,23927,33293,20920,982095.0
0,23930,0,0,0,20923,0,0,23930,33295,20923,982195.0
0,23932,0,0,0,20925,0,0,23932,33299,20925,982295.0
0,23936,0,0,0,20929,0,0,23936,33304,20929,982395.0
0,23938,0,0,0,20931,0,0,23938,33307,20931,982495.0
0,23940,0,0,0,20932,0,0,23940,33311,20932,982595.0
0,23942,0,0,0,20934,0,0,23942,33314,20934,982695.0
0,23944,0,0,0,20936,0,0,23944,33317,20936,982795.0
0,23947,0,0,0,20938,0,0,23947,33321,20938,982895.0
0,23950,0,0,0,20940,0,0,23950,33324,20940,982995.0
0,23953,0,0,0,20943,0,0,23953,33328,20943,983095.0
0,23955,0,0,0,20945,0,0,23955,33331,20945,983195.0
0,23958,0,0,0,20948,0,0,23958,33336,20948,983295.0
0,23961,0,0,0,20951,0,0,23961,33338,20951,983395.0
0,23963,0,0,0,20952,0,0,23963,33342,20952,983495.0
0,23966,0,0,0,20954,0,0,23966,33346,20954,983595.0
0,23968,0,0,0,20955,0,0,23968,33350,20955,983695.0
0,23970,0,0,0,20957,0,0,23970,33354,20957,983795.0
0,23973,0,0,0,20959,0,0,23973,33358,20959,983895.0
0,23975,0,0,0,20961,0,0,23975,33360,20961,983995.0
0,23978,0,0,0,20964,0,0,23978,33363,20964,984095.0
0,23982,0,0,0,20967,0,0,23982,33366,20967,984195.0
0,23984,0,0,0,20968,0,0,23984,33368,20968,984295.0
0,23986,0,0,0,20970,0,0,23986,33371,20970,984395.0
0,23989,0,0,0,20973,0,0,23989,33375,20973,984495.0
0,23992,0,0,0,20976,0,0,23992,33377,20976,984595.0
0,23994,0,0,0,20976,0,0,23994,33380,20976,984695.0
0,23997,0,0,0,20979,0,0,23997,33383,20979,984795.0
0,23999,0,0,0,20981,0,0,23999,33387,20981,984895.0
0,24003,0,0,0,20985,0,0,24003,33391,20985,984995.0
0,24005,0,0,0,20987,0,0,24005,33395,20987,985095.0
0,24007,0,0,0,20988,0,0,24007,33397,20988,985195.0
0,24009,0,0,0,20989,0,0,24009,33400,20989,985295.0
0,24011,0,0,0,20991,0,0,24011,33404,20991,985395.0
0,24014,0,0,0,20993,0,0,24014,33407,20993,985495.0
0,24017,0,0,0,20996,0,0,24017,33410,20996,985595.0
0,24019,0,0,0,20997,0,0,24019,33414,20997,985695.0
0,24022,0,0,0,21000,0,0,24022,33420,21000,985795.0
0,24023,0,0,0,21001,0,0,24023,33424,21001,985895.0
0,24025,0,0,0,21002,0,0,24025,33428,21002,985995.0
0,24028,0,0,0,21004,0,0,24028,33430,21004,986095.0
0,24031,0,0,0,21006,0,0,24031,33433,21006,986195.0
0,24034,0,0,0,21009,0,0,24034,33437,21009,986295.0
0,24037,0,0,0,21011,0,0,24037,33440,21011,986395.0
0,24038,0,0,0,21012,0,0,24038,33444,21012,986495.0
0,24041,0,0,0,21015,0,0,24041,33448,21015,986595.0
0,24043,0,0,0,21016,0,0,24043,33451,21016,986695.0
0,24046,0,0,0,21019,0,0,24046,33454,21019,986795.0
0,24048,0,0,0,21020,0,0,24048,33457,21020,986895.0
0,24051,0,0,0,21023,0,0,24051,33460,21023,986995.0
0,24054,0,0,0,21026,0,0,24054,33463,21026,987095.0
0,24056,0,0,0,21028,0,0,24056,33466,21028,987195.0
0,24058,0,0,0,21030,0,0,24058,33470,21030,987295.0
0,24060,0,0,0,21032,0,0,24060,33473,21032,987395.0
0,24061,0,0,0,21033,0,0,24061,33476,21033,987495.0
0,24062,0,0,0,21033,0,0,24062,33480,21033,987595.0
0,24064,0,0,0,21035,0,0,24064,33483,21035,987695.0
0,24066,0,0,0,21037,0,0,24066,33486,21037,987795.0
0,24069,0,0,0,21040,0,0,24069,33489,21040,987895.0
0,24071,0,0,0,21042,0,0,24071,33491,21042,987995.0
0,24073,0,0,0,21044,0,0,24073,33493,21044,988095.0
0,24075,0,0,0,21046,0,0,24075,33497,21046,988195.0
0,24078,0,0,0,21049,0,0,24078,33500,21049,988295.0
0,24081,0,0,0,21052,0,0,24081,33504,21052,988395.0
0,24083,0,0,0,21054,0,0,24083,33507,21054,988495.0
0,24086,0,0,0,21057,0,0,24086,33510,21057,988595.0
0,24088,0,0,0,21059,0,0,24088,33513,21059,988695.0
0,24090,0,0,0,21061,0,0,24090,33517,21061,988795.0
0,24093,0,0,0,21063,0,0,24093,33521,21063,988895.0
0,24094,0,0,0,21064,0,0,24094,33524,21064,988995.0
0,24097,0,0,0,21067,0,0,24097,33527,21067,989095.0
0,24099,0,0,0,21069,0,0,24099,33531,21069,989195.0
0,24101,0,0,0,21071,0,0,24101,33534,21071,989295.0
