receive_from_1,receive_from_2,receive_from_3,receive_from_4,compute_from_1,compute_from_2,compute_from_3,compute_from_4,total_receive,total_send,total_compute,timestamp
0,0,363,0,0,0,341,0,363,677,341,22653.0
0,0,365,0,0,0,343,0,365,679,343,22753.0
0,0,366,0,0,0,344,0,366,683,344,22853.0
0,0,368,0,0,0,345,0,368,687,345,22953.0
0,0,371,0,0,0,347,0,371,690,347,23053.0
0,0,373,0,0,0,349,0,373,694,349,23153.0
0,0,374,0,0,0,349,0,374,698,349,23253.0
0,0,376,0,0,0,351,0,376,701,351,23353.0
0,0,378,0,0,0,353,0,378,705,353,23453.0
0,0,379,0,0,0,354,0,379,708,354,23553.0
0,0,381,0,0,0,356,0,381,711,356,23653.0
0,0,382,0,0,0,356,0,382,714,356,23753.0
0,0,385,0,0,0,359,0,385,717,359,23853.0
0,0,386,0,0,0,360,0,386,720,360,23953.0
0,0,388,0,0,0,361,0,388,723,361,24053.0
0,0,389,0,0,0,361,0,389,725,361,24153.0
0,0,391,0,0,0,363,0,391,729,363,24253.0
0,0,392,0,0,0,364,0,392,733,364,24353.0
0,0,394,0,0,0,365,0,394,737,365,24453.0
0,0,397,0,0,0,368,0,397,740,368,24553.0
0,0,399,0,0,0,370,0,399,744,370,24653.0
0,0,401,0,0,0,372,0,401,748,372,24753.0
0,0,402,0,0,0,372,0,402,752,372,24853.0
0,0,404,0,0,0,374,0,404,755,374,24953.0
0,0,406,0,0,0,376,0,406,759,376,25053.0
0,0,408,0,0,0,378,0,408,764,378,25153.0
0,0,410,0,0,0,380,0,410,766,380,25253.0
0,0,412,0,0,0,382,0,412,769,382,25353.0
0,0,413,0,0,0,383,0,413,772,383,25453.0
0,0,415,0,0,0,385,0,415,775,385,25553.0
0,0,417,0,0,0,387,0,417,780,387,25653.0
0,0,419,0,0,0,389,0,419,783,389,25753.0
0,0,421,0,0,0,391,0,421,787,391,25853.0
0,0,422,0,0,0,392,0,422,791,392,25953.0
0,0,424,0,0,0,393,0,424,795,393,26053.0
0,0,426,0,0,0,395,0,426,798,395,26153.0
0,0,428,0,0,0,397,0,428,802,397,26253.0
0,0,430,0,0,0,399,0,430,804,399,26353.0
0,0,432,0,0,0,401,0,432,809,401,26453.0
0,0,434,0,0,0,403,0,434,811,403,26553.0
0,0,435,0,0,0,404,0,435,814,404,26653.0
0,0,438,0,0,0,407,0,438,817,407,26753.0
0,0,440,0,0,0,409,0,440,820,409,26853.0
0,0,441,0,0,0,410,0,441,825,410,26953.0
0,0,444,0,0,0,413,0,444,828,413,27053.0
0,0,446,0,0,0,415,0,446,831,415,27153.0
0,0,448,0,0,0,417,0,448,836,417,27253.0
0,0,450,0,0,0,419,0,450,840,419,27353.0
0,0,452,0,0,0,421,0,452,842,421,27453.0
0,0,454,0,0,0,423,0,454,846,423,27553.0
0,0,456,0,0,0,425,0,456,850,425,27653.0
0,0,459,0,0,0,428,0,459,854,428,27753.0
0,0,461,0,0,0,430,0,461,858,430,27853.0
0,0,463,0,0,0,432,0,463,862,432,27953.0
0,0,465,0,0,0,434,0,465,866,434,28053.0
0,0,467,0,0,0,436,0,467,869,436,28153.0
0,0,468,0,0,0,437,0,468,873,437,28253.0
0,0,470,0,0,0,439,0,470,876,439,28353.0
0,0,472,0,0,0,441,0,472,879,441,28453.0
0,0,475,0,0,0,444,0,475,881,444,28553.0
0,0,477,0,0,0,446,0,477,886,446,28653.0
0,0,478,0,0,0,447,0,478,889,447,28753.0
0,0,481,0,0,0,450,0,481,894,450,28853.0
0,0,483,0,0,0,452,0,483,898,452,28953.0
0,0,484,0,0,0,453,0,484,900,453,29053.0
0,0,486,0,0,0,454,0,486,904,454,29153.0
0,0,488,0,0,0,456,0,488,907,456,29253.0
0,0,489,0,0,0,457,0,489,910,457,29353.0
0,0,491,0,0,0,458,0,491,914,458,29453.0
0,0,493,0,0,0,460,0,493,917,460,29553.0
0,0,495,0,0,0,462,0,495,921,462,29653.0
0,0,497,0,0,0,464,0,497,924,464,29753.0
