receive_from_1,receive_from_2,receive_from_3,receive_from_4,compute_from_1,compute_from_2,compute_from_3,compute_from_4,total_receive,total_send,total_compute,timestamp
0,0,0,146,0,0,0,140,146,393,140,14102.0
0,0,0,148,0,0,0,142,148,397,142,14202.0
0,0,0,149,0,0,0,143,149,400,143,14302.0
0,0,0,151,0,0,0,145,151,402,145,14402.0
0,0,0,152,0,0,0,146,152,406,146,14502.0
0,0,0,154,0,0,0,148,154,409,148,14602.0
0,0,0,156,0,0,0,150,156,414,150,14702.0
0,0,0,157,0,0,0,151,157,417,151,14802.0
0,0,0,159,0,0,0,153,159,420,153,14902.0
0,0,0,160,0,0,0,154,160,424,154,15002.0
0,0,0,161,0,0,0,154,161,428,154,15102.0
0,0,0,163,0,0,0,156,163,430,156,15202.0
0,0,0,164,0,0,0,157,164,432,157,15302.0
0,0,0,166,0,0,0,159,166,435,159,15402.0
0,0,0,168,0,0,0,161,168,438,161,15502.0
0,0,0,170,0,0,0,163,170,442,163,15602.0
0,0,0,172,0,0,0,165,172,444,165,15702.0
0,0,0,173,0,0,0,166,173,447,166,15802.0
0,0,0,175,0,0,0,168,175,450,168,15902.0
0,0,0,177,0,0,0,170,177,453,170,16002.0
0,0,0,179,0,0,0,172,179,457,172,16102.0
0,0,0,181,0,0,0,174,181,460,174,16202.0
0,0,0,182,0,0,0,175,182,464,175,16302.0
0,0,0,184,0,0,0,177,184,467,177,16402.0
0,0,0,186,0,0,0,179,186,471,179,16502.0
0,0,0,187,0,0,0,180,187,474,180,16602.0
0,0,0,189,0,0,0,182,189,479,182,16702.0
0,0,0,191,0,0,0,184,191,482,184,16802.0
0,0,0,192,0,0,0,185,192,485,185,16902.0
0,0,0,193,0,0,0,186,193,488,186,17002.0
0,0,0,194,0,0,0,187,194,491,187,17102.0
0,0,0,196,0,0,0,189,196,495,189,17202.0
0,0,0,198,0,0,0,191,198,499,191,17302.0
0,0,0,200,0,0,0,191,200,503,191,17402.0
0,0,0,201,0,0,0,192,201,506,192,17502.0
0,0,0,203,0,0,0,194,203,509,194,17602.0
0,0,0,204,0,0,0,195,204,512,195,17702.0
0,0,0,205,0,0,0,196,205,516,196,17802.0
0,0,0,207,0,0,0,197,207,519,197,17902.0
0,0,0,209,0,0,0,199,209,521,199,18002.0
0,0,0,210,0,0,0,200,210,524,200,18102.0
0,0,0,210,0,0,0,200,210,528,200,18202.0
0,0,0,211,0,0,0,200,211,532,200,18302.0
0,0,0,213,0,0,0,201,213,535,201,18402.0
0,0,0,213,0,0,0,201,213,538,201,18502.0
0,0,0,215,0,0,0,202,215,542,202,18602.0
0,0,0,217,0,0,0,204,217,546,204,18702.0
0,0,0,218,0,0,0,205,218,549,205,18802.0
0,0,0,220,0,0,0,207,220,552,207,18902.0
0,0,0,221,0,0,0,208,221,556,208,19002.0
0,0,0,223,0,0,0,210,223,558,210,19102.0
0,0,0,224,0,0,0,211,224,562,211,19202.0
0,0,0,225,0,0,0,211,225,566,211,19302.0
0,0,0,227,0,0,0,213,227,568,213,19402.0
0,0,0,228,0,0,0,214,228,571,214,19502.0
0,0,0,230,0,0,0,216,230,574,216,19602.0
0,0,0,232,0,0,0,218,232,577,218,19702.0
0,0,0,234,0,0,0,220,234,581,220,19802.0
0,0,0,236,0,0,0,222,236,585,222,19902.0
0,0,0,237,0,0,0,223,237,588,223,20002.0
0,0,0,239,0,0,0,225,239,591,225,20102.0
0,0,0,241,0,0,0,227,241,594,227,20202.0
0,0,0,243,0,0,0,229,243,598,229,20302.0
0,0,0,244,0,0,0,230,244,601,230,20402.0
0,0,0,246,0,0,0,232,246,605,232,20502.0
0,0,0,247,0,0,0,233,247,608,233,20602.0
0,0,0,249,0,0,0,235,249,611,235,20702.0
0,0,0,251,0,0,0,237,251,615,237,20802.0
0,0,0,252,0,0,0,238,252,618,238,20902.0
0,0,0,254,0,0,0,240,254,621,240,21002.0
0,0,0,256,0,0,0,242,256,624,242,21102.0
0,0,0,257,0,0,0,243,257,627,243,21202.0
0,0,0,259,0,0,0,245,259,630,245,21302.0
