receive_from_1,receive_from_2,receive_from_3,receive_from_4,compute_from_1,compute_from_2,compute_from_3,compute_from_4,total_receive,total_send,total_compute,timestamp
0,277,205,179,0,235,180,166,661,392,581,14059.0
0,279,207,181,0,237,182,168,667,395,587,14159.0
0,282,209,182,0,240,184,169,673,398,593,14259.0
0,284,211,184,0,242,186,171,679,401,599,14359.0
0,287,213,185,0,245,188,172,685,405,605,14459.0
0,290,216,187,0,247,190,174,693,407,611,14559.0
0,293,217,188,0,250,191,175,698,412,616,14659.0
0,295,218,190,0,252,191,177,703,416,620,14759.0
0,297,220,192,0,254,192,179,709,418,625,14859.0
0,300,222,193,0,256,194,180,715,422,630,14959.0
0,303,225,195,0,259,197,182,723,426,638,15059.0
0,305,227,197,0,261,198,184,729,429,643,15159.0
0,307,229,199,0,263,199,185,735,431,647,15259.0
0,309,231,201,0,265,201,187,741,434,653,15359.0
0,312,232,202,0,267,201,188,746,437,656,15459.0
0,314,234,204,0,268,203,190,752,440,661,15559.0
0,316,236,206,0,270,205,192,758,443,667,15659.0
0,319,239,208,0,273,207,194,766,446,674,15759.0
0,321,241,209,0,275,209,195,771,449,679,15859.0
0,322,243,211,0,276,211,197,776,452,684,15959.0
0,324,245,212,0,277,212,198,781,455,687,16059.0
0,326,248,214,0,279,214,200,788,459,693,16159.0
0,329,250,216,0,282,216,202,795,462,700,16259.0
0,331,252,217,0,284,218,203,800,466,705,16359.0
0,333,254,219,0,285,220,204,806,469,709,16459.0
0,335,255,221,0,287,221,206,811,473,714,16559.0
0,338,258,222,0,290,224,207,818,477,721,16659.0
0,341,259,224,0,293,225,209,824,480,727,16759.0
0,343,261,225,0,295,227,210,829,483,732,16859.0
0,346,262,226,0,298,228,211,834,486,737,16959.0
0,349,265,228,0,301,230,213,842,490,744,17059.0
0,352,267,229,0,303,232,214,848,494,749,17159.0
0,354,270,231,0,304,234,215,855,496,753,17259.0
0,357,272,232,0,305,236,215,861,501,756,17359.0
0,359,275,234,0,307,238,216,868,505,761,17459.0
0,361,276,235,0,309,239,217,872,508,765,17559.0
0,363,278,237,0,310,241,219,878,511,770,17659.0
0,365,280,239,0,311,243,221,884,514,775,17759.0
0,368,282,241,0,314,245,223,891,518,782,17859.0
0,370,284,243,0,316,247,225,897,520,788,17959.0
0,374,286,244,0,319,249,226,904,523,794,18059.0
0,377,288,246,0,321,251,228,911,525,800,18159.0
0,378,290,247,0,322,253,229,915,531,804,18259.0
0,380,292,248,0,324,255,230,920,533,809,18359.0
0,383,293,250,0,327,256,232,926,537,815,18459.0
0,384,295,252,0,327,258,234,931,539,819,18559.0
0,387,298,252,0,330,261,234,937,544,825,18659.0
0,389,301,254,0,332,264,235,944,548,831,18759.0
0,391,303,256,0,334,266,237,950,551,837,18859.0
0,393,304,257,0,336,267,238,954,554,841,18959.0
0,395,306,258,0,338,269,239,959,557,846,19059.0
0,396,308,259,0,338,271,240,963,560,849,19159.0
0,399,310,260,0,340,273,241,969,564,854,19259.0
0,402,312,261,0,343,274,242,975,567,859,19359.0
0,404,314,262,0,345,276,243,980,570,864,19459.0
0,407,315,264,0,347,277,245,986,573,869,19559.0
0,408,317,266,0,348,279,247,991,576,874,19659.0
0,412,318,268,0,352,280,249,998,580,881,19759.0
0,414,320,269,0,354,282,250,1003,584,886,19859.0
0,417,322,270,0,356,284,251,1009,587,891,19959.0
0,420,324,272,0,359,286,253,1016,590,898,20059.0
0,422,326,274,0,361,288,255,1022,592,904,20159.0
0,424,328,276,0,363,290,257,1028,597,910,20259.0
0,427,330,278,0,365,292,259,1035,600,916,20359.0
0,429,331,279,0,367,293,259,1039,603,919,20459.0
0,432,333,282,0,370,295,262,1047,606,927,20559.0
0,435,335,283,0,373,297,263,1053,610,933,20659.0
0,437,337,284,0,375,299,264,1058,613,938,20759.0
0,439,339,286,0,377,301,266,1064,617,944,20859.0
0,441,341,287,0,379,303,267,1069,620,949,20959.0
0,443,344,289,0,380,306,269,1076,623,955,21059.0
0,445,345,291,0,382,307,271,1081,625,960,21159.0
0,447,346,292,0,382,308,272,1085,629,962,21259.0
0,449,348,293,0,383,310,272,1090,632,965,21359.0
0,452,351,295,0,386,313,274,1098,635,973,21459.0
0,455,352,297,0,388,314,276,1104,639,978,21559.0
0,457,354,298,0,390,316,277,1109,643,983,21659.0
0,459,357,300,0,392,318,279,1116,647,989,21759.0
0,461,359,302,0,393,320,281,1122,651,994,21859.0
0,464,361,303,0,396,322,282,1128,654,1000,21959.0
0,466,364,305,0,398,325,284,1135,658,1007,22059.0
0,468,365,306,0,400,326,285,1139,661,1011,22159.0
0,470,367,307,0,401,328,285,1144,664,1014,22259.0
0,472,368,309,0,402,328,287,1149,669,1017,22359.0
0,475,370,310,0,405,330,288,1155,671,1023,22459.0
0,477,372,311,0,406,332,289,1160,674,1027,22559.0
0,480,374,312,0,409,334,289,1166,677,1032,22659.0
0,483,376,314,0,412,336,291,1173,680,1039,22759.0
0,485,378,316,0,414,338,293,1179,683,1045,22859.0
0,487,380,318,0,416,340,295,1185,687,1051,22959.0
0,489,383,321,0,418,343,298,1193,690,1059,23059.0
0,492,385,322,0,421,345,299,1199,695,1065,23159.0
0,494,387,325,0,423,346,302,1206,698,1071,23259.0
0,497,389,326,0,426,348,303,1212,702,1077,23359.0
0,499,390,328,0,428,348,305,1217,705,1081,23459.0
0,501,392,329,0,430,350,306,1222,708,1086,23559.0
0,504,394,330,0,433,352,307,1228,711,1092,23659.0
0,507,396,332,0,436,354,309,1235,714,1099,23759.0
0,510,398,334,0,439,356,311,1242,717,1106,23859.0
0,513,399,334,0,441,356,311,1246,720,1108,23959.0
0,515,400,336,0,443,357,312,1251,723,1112,24059.0
0,518,402,338,0,446,359,314,1258,726,1119,24159.0
0,521,404,339,0,449,361,315,1264,729,1125,24259.0
0,524,406,341,0,452,363,317,1271,733,1132,24359.0
0,526,407,342,0,453,364,318,1275,737,1135,24459.0
0,528,410,344,0,455,367,320,1282,740,1142,24559.0
0,530,412,346,0,457,369,322,1288,744,1148,24659.0
0,534,414,348,0,460,371,324,1296,748,1155,24759.0
0,536,416,350,0,461,373,326,1302,753,1160,24859.0
0,538,418,352,0,463,375,328,1308,755,1166,24959.0
0,539,420,353,0,464,377,329,1312,759,1170,25059.0
0,541,422,355,0,465,379,331,1318,764,1175,25159.0
0,542,423,356,0,466,379,332,1321,766,1177,25259.0
0,544,425,358,0,466,381,334,1327,770,1181,25359.0
0,546,428,360,0,468,383,336,1334,773,1187,25459.0
0,549,430,362,0,471,385,338,1341,776,1194,25559.0
0,551,432,364,0,473,387,340,1347,780,1200,25659.0
0,554,434,365,0,476,389,341,1353,783,1206,25759.0
0,556,435,366,0,477,390,342,1357,787,1209,25859.0
0,558,437,368,0,479,391,344,1363,791,1214,25959.0
0,560,438,369,0,480,392,345,1367,795,1217,26059.0
0,563,439,371,0,483,393,347,1373,798,1223,26159.0
0,565,441,372,0,485,394,348,1378,802,1227,26259.0
0,568,444,374,0,488,397,350,1386,804,1235,26359.0
0,570,445,375,0,490,398,351,1390,809,1239,26459.0
0,573,446,377,0,493,399,353,1396,811,1245,26559.0
0,574,447,379,0,494,399,355,1400,814,1248,26659.0
0,577,449,380,0,497,401,356,1406,817,1254,26759.0
0,578,451,382,0,497,403,358,1411,821,1258,26859.0
0,580,452,383,0,499,404,359,1415,825,1262,26959.0
0,582,454,385,0,501,406,361,1421,828,1268,27059.0
0,584,457,386,0,503,409,362,1427,831,1274,27159.0
0,585,459,388,0,504,411,364,1432,836,1279,27259.0
0,588,460,390,0,506,412,366,1438,840,1284,27359.0
0,591,462,391,0,508,414,367,1444,843,1289,27459.0
0,593,464,393,0,509,416,369,1450,846,1294,27559.0
0,595,466,395,0,511,418,371,1456,850,1300,27659.0
0,598,468,396,0,513,420,372,1462,854,1305,27759.0
0,601,470,397,0,516,422,372,1468,858,1310,27859.0
