total_receive,total_send,total_compute,timestamp
3049,1567,2488,237603.0
3050,1568,2489,237703.0
3052,1569,2491,237803.0
3053,1569,2492,237903.0
3054,1570,2493,238003.0
3056,1571,2495,238103.0
3057,1571,2496,238203.0
3058,1572,2497,238303.0
3060,1573,2499,238403.0
3061,1573,2500,238503.0
3062,1574,2501,238603.0
3064,1575,2503,238703.0
3065,1575,2504,238803.0
3066,1576,2505,238903.0
3068,1577,2507,239003.0
3069,1577,2508,239103.0
3070,1578,2509,239203.0
3072,1579,2511,239303.0
3073,1579,2512,239403.0
3074,1580,2513,239503.0
3076,1581,2515,239603.0
3077,1581,2516,239703.0
3078,1582,2517,239803.0
3080,1583,2519,239903.0
3081,1583,2520,240003.0
3082,1584,2521,240103.0
3084,1585,2523,240203.0
3085,1585,2524,240303.0
3086,1586,2525,240403.0
3088,1587,2527,240503.0
3089,1587,2528,240603.0
3090,1588,2529,240703.0
3092,1589,2531,240803.0
3093,1589,2532,240903.0
3094,1590,2533,241003.0
3096,1591,2535,241103.0
3097,1591,2536,241203.0
3098,1592,2537,241303.0
3100,1593,2537,241403.0
3101,1593,2537,241503.0
3101,1594,2537,241603.0
3103,1595,2538,241703.0
3104,1595,2539,241803.0
3105,1596,2540,241903.0
3107,1597,2542,242003.0
3108,1597,2543,242103.0
3109,1598,2544,242203.0
3110,1599,2545,242303.0
3111,1599,2546,242403.0
3112,1600,2546,242503.0
3114,1601,2548,242603.0
3115,1601,2549,242703.0
3116,1602,2550,242803.0
3118,1603,2552,242903.0
3119,1603,2553,243003.0
3120,1604,2554,243103.0
3122,1605,2556,243203.0
3123,1605,2557,243303.0
3124,1606,2558,243403.0
3126,1607,2560,243503.0
3127,1607,2561,243603.0
3128,1608,2562,243703.0
3130,1609,2564,243803.0
3131,1609,2565,243903.0
3132,1610,2566,244003.0
3134,1611,2568,244103.0
3135,1611,2569,244203.0
3136,1612,2570,244303.0
3138,1613,2572,244403.0
3139,1613,2573,244503.0
3140,1614,2574,244603.0
3142,1615,2576,244703.0
3143,1615,2577,244803.0
