receive_from_2,receive_from_3,receive_from_4,receive_from_5,compute_from_2,compute_from_3,compute_from_4,compute_from_5,total_receive,total_send,total_compute,timestamp
77,99,100,98,73,95,97,94,374,102,359,7633.0
79,101,102,100,75,97,99,96,382,104,367,7733.0
80,103,104,102,76,99,101,98,389,106,374,7833.0
82,105,106,104,77,101,103,100,397,108,381,7933.0
84,107,108,106,79,103,105,102,405,110,389,8033.0
86,109,110,108,81,105,107,104,413,112,397,8133.0
88,111,112,110,83,107,109,106,421,114,405,8233.0
90,113,114,112,85,109,111,108,429,116,413,8333.0
92,115,116,114,87,111,113,110,437,118,421,8433.0
94,117,118,116,89,113,115,112,445,120,429,8533.0
96,119,120,118,91,115,117,114,453,122,437,8633.0
98,121,122,119,93,117,119,114,460,124,443,8733.0
100,123,124,121,95,119,121,116,468,126,451,8833.0
102,125,126,123,97,121,123,118,476,128,459,8933.0
104,127,128,125,99,123,125,120,484,130,467,9033.0
106,129,130,127,101,125,127,122,492,132,475,9133.0
108,131,132,129,103,127,129,124,500,134,483,9233.0
109,133,134,131,104,129,131,126,507,136,490,9333.0
111,135,136,133,105,131,133,128,515,138,497,9433.0
113,137,138,135,107,133,135,130,523,140,505,9533.0
115,139,140,137,109,135,137,132,531,142,513,9633.0
117,141,142,138,111,137,139,132,538,144,519,9733.0
119,143,144,140,113,139,141,134,546,146,527,9833.0
121,145,146,142,115,141,143,136,554,148,535,9933.0
123,147,148,144,117,143,145,138,562,150,543,10033.0
125,149,150,146,119,145,147,140,570,152,551,10133.0
127,151,152,148,121,147,149,142,578,154,559,10233.0
129,153,154,150,123,149,151,144,586,156,567,10333.0
131,155,156,152,125,151,153,146,594,158,575,10433.0
133,157,158,154,127,153,155,148,602,160,583,10533.0
134,159,160,156,128,155,157,150,609,162,590,10633.0
135,161,162,158,128,157,159,152,616,164,596,10733.0
137,163,164,160,129,159,161,154,624,166,603,10833.0
139,165,166,162,131,161,163,155,632,168,610,10933.0
141,167,168,164,132,162,164,157,640,170,615,11033.0
143,169,170,166,134,164,166,159,648,172,623,11133.0
145,171,171,168,136,166,166,161,655,174,629,11233.0
147,173,173,170,138,168,168,163,663,176,637,11333.0
148,175,175,172,139,170,170,165,670,178,644,11433.0
149,177,177,174,139,172,172,167,677,180,650,11533.0
151,179,179,175,140,174,174,167,684,182,655,11633.0
153,181,181,177,142,176,176,169,692,184,663,11733.0
155,183,183,179,144,178,178,171,700,186,671,11833.0
157,185,184,181,146,180,178,173,707,188,677,11933.0
159,187,185,183,148,182,178,175,714,190,683,12033.0
161,189,187,185,150,184,180,177,722,192,691,12133.0
163,191,188,187,152,186,181,179,729,194,698,12233.0
165,193,190,189,154,188,182,181,737,196,705,12333.0
167,194,192,191,156,188,184,183,744,198,711,12433.0
169,196,194,193,158,190,186,185,752,200,719,12533.0
171,198,196,195,160,192,188,187,760,202,727,12633.0
173,200,198,197,162,194,190,189,768,204,735,12733.0
175,202,200,199,164,196,192,191,776,206,743,12833.0
177,204,202,199,166,198,194,191,782,208,749,12933.0
179,205,204,201,168,199,196,192,789,210,755,13033.0
181,207,206,203,170,200,198,194,797,212,762,13133.0
183,209,208,205,172,202,200,196,805,214,770,13233.0
185,211,210,207,174,204,202,198,813,216,778,13333.0
187,213,212,209,176,206,204,200,821,218,786,13433.0
188,215,214,211,176,208,206,202,828,220,792,13533.0
190,217,216,213,178,210,207,204,836,222,799,13633.0
192,219,218,215,180,212,209,206,844,224,807,13733.0
194,221,220,217,182,214,211,208,852,226,815,13833.0
196,223,222,219,184,216,213,210,860,228,823,13933.0
198,225,224,221,186,218,215,212,868,230,831,14033.0
200,227,226,223,188,220,217,214,876,232,839,14133.0
202,229,228,225,190,222,219,216,884,234,847,14233.0
204,231,230,227,192,224,221,218,892,236,855,14333.0
