receive_from_2,receive_from_3,receive_from_4,receive_from_5,compute_from_2,compute_from_3,compute_from_4,compute_from_5,total_receive,total_send,total_compute,timestamp
11,11,0,0,4,4,0,0,32,11,12,3113.0
13,13,0,0,4,4,0,0,38,13,12,3213.0
15,15,0,0,4,4,0,0,44,15,12,3313.0
17,17,0,0,4,4,0,0,50,17,12,3413.0
19,19,0,0,4,4,0,0,55,19,12,3513.0
21,21,0,0,4,4,0,0,61,21,12,3613.0
23,23,0,0,4,4,0,0,67,23,12,3713.0
25,25,0,0,4,4,0,0,73,25,12,3813.0
27,27,0,0,4,4,0,0,79,27,12,3913.0
29,28,0,0,4,4,0,0,84,29,12,4013.0
31,30,0,0,4,4,0,0,90,31,12,4113.0
33,32,0,0,4,4,0,0,96,33,12,4213.0
35,34,0,0,4,4,0,0,102,35,12,4313.0
37,36,1,0,5,5,0,0,109,37,14,4413.0
39,38,1,0,5,5,0,0,115,39,15,4513.0
41,40,1,0,5,5,0,0,121,41,15,4613.0
43,42,1,0,5,5,0,0,127,43,15,4713.0
45,44,1,0,5,5,0,0,133,45,15,4813.0
47,46,1,0,5,5,0,0,139,47,15,4913.0
49,48,1,0,5,5,0,0,145,49,15,5013.0
51,50,1,0,5,5,0,0,151,51,15,5113.0
53,52,1,0,5,5,0,0,157,53,15,5213.0
55,54,1,0,5,5,0,0,163,55,15,5313.0
57,56,1,0,5,5,0,0,169,57,15,5413.0
59,58,1,0,5,5,0,0,175,59,15,5513.0
61,60,1,0,5,5,0,0,181,61,15,5613.0
63,62,1,0,5,5,0,0,187,63,15,5713.0
64,64,1,0,5,5,0,0,192,65,15,5813.0
66,66,2,0,5,5,0,0,199,67,15,5913.0
68,68,2,0,5,5,0,0,205,69,15,6013.0
70,70,2,0,5,5,0,0,211,71,15,6113.0
72,72,3,0,5,5,0,0,218,73,15,6213.0
74,73,4,0,5,5,0,0,224,75,15,6313.0
76,74,4,0,5,5,0,0,229,77,15,6413.0
78,76,5,0,5,5,0,0,235,79,15,6513.0
80,77,6,0,5,5,0,0,241,81,15,6613.0
82,78,7,0,5,5,0,0,246,83,15,6713.0
84,80,9,0,5,5,0,0,254,85,15,6813.0
86,82,11,0,5,5,0,0,262,87,15,6913.0
88,84,13,0,5,5,0,0,270,89,15,7013.0
90,86,15,0,5,5,0,0,278,91,15,7113.0
92,87,16,0,5,5,0,0,284,93,15,7213.0
93,88,17,0,5,6,1,0,289,95,17,7313.0
95,89,18,0,5,6,1,0,295,97,17,7413.0
97,89,18,0,5,6,1,0,299,99,17,7513.0
99,90,18,0,5,6,1,0,304,101,17,7613.0
101,90,18,0,5,6,1,0,308,103,17,7713.0
103,92,20,0,5,6,1,0,316,105,17,7813.0
105,94,22,0,5,6,1,0,324,107,17,7913.0
107,96,24,0,5,6,1,0,332,109,17,8013.0
109,97,25,0,6,6,2,0,338,111,20,8113.0
111,98,26,0,6,6,2,0,344,113,20,8213.0
113,100,28,0,6,6,2,0,352,115,20,8313.0
115,102,30,0,6,6,2,0,360,117,20,8413.0
117,102,30,0,6,6,2,0,364,119,20,8513.0
119,104,32,0,6,6,2,0,372,121,20,8613.0
121,106,33,0,6,6,2,0,379,123,20,8713.0
123,108,35,0,6,6,2,0,387,125,20,8813.0
125,110,37,0,6,6,2,0,395,127,20,8913.0
127,112,39,0,6,6,2,0,403,129,20,9013.0
129,114,41,0,6,6,2,0,411,131,20,9113.0
131,116,43,0,6,6,2,0,419,133,20,9213.0
133,116,43,0,6,6,2,0,423,135,20,9313.0
135,118,45,0,6,6,2,0,431,137,20,9413.0
137,119,46,0,6,6,2,0,437,139,20,9513.0
139,120,47,0,6,6,2,0,443,141,20,9613.0
141,122,49,0,8,8,4,0,450,143,27,9713.0
143,124,51,0,8,8,4,0,457,145,28,9813.0
145,126,53,0,8,8,4,0,466,147,28,9913.0
147,127,54,0,9,9,5,0,471,149,32,10013.0
149,128,55,0,10,9,5,0,475,151,33,10113.0
151,130,57,0,10,9,5,0,483,153,34,10213.0
153,132,59,0,11,10,6,0,490,155,38,10313.0
155,133,60,0,11,10,6,0,496,157,39,10413.0
157,135,62,0,13,12,8,0,502,159,45,10513.0
159,137,64,0,15,14,10,0,508,161,51,10613.0
