receive_from_2,receive_from_3,receive_from_4,receive_from_5,compute_from_2,compute_from_3,compute_from_4,compute_from_5,total_receive,total_send,total_compute,timestamp
0,2311,2151,2458,0,1314,1970,2245,9206,2602,7607,132645.0
0,2313,2153,2460,0,1315,1972,2247,9214,2604,7614,132745.0
0,2315,2155,2462,0,1316,1974,2249,9222,2606,7621,132845.0
0,2317,2157,2464,0,1317,1976,2251,9230,2608,7628,132945.0
0,2319,2158,2466,0,1318,1976,2253,9237,2610,7633,133045.0
0,2321,2160,2468,0,1319,1978,2255,9245,2612,7640,133145.0
0,2322,2162,2470,0,1319,1980,2257,9252,2614,7646,133245.0
0,2324,2164,2472,0,1320,1981,2258,9260,2616,7650,133345.0
0,2326,2166,2474,0,1321,1983,2260,9268,2618,7657,133445.0
0,2327,2168,2476,0,1321,1985,2262,9275,2620,7663,133545.0
0,2329,2170,2478,0,1322,1987,2264,9283,2622,7670,133645.0
0,2331,2172,2480,0,1323,1989,2266,9291,2624,7677,133745.0
0,2333,2174,2482,0,1324,1991,2268,9299,2626,7684,133845.0
0,2335,2176,2484,0,1325,1993,2270,9307,2628,7691,133945.0
0,2337,2178,2486,0,1326,1995,2272,9315,2630,7698,134045.0
0,2339,2180,2488,0,1327,1997,2274,9323,2632,7705,134145.0
0,2341,2182,2490,0,1328,1999,2276,9331,2634,7712,134245.0
0,2343,2184,2492,0,1329,2001,2278,9339,2636,7719,134345.0
0,2345,2186,2494,0,1330,2003,2280,9347,2638,7726,134445.0
0,2347,2188,2496,0,1331,2005,2282,9355,2640,7733,134545.0
0,2349,2190,2498,0,1332,2007,2284,9363,2642,7740,134645.0
0,2351,2192,2500,0,1333,2009,2286,9371,2644,7747,134745.0
0,2353,2194,2502,0,1334,2011,2288,9379,2646,7754,134845.0
0,2355,2196,2504,0,1335,2013,2290,9387,2648,7761,134945.0
0,2357,2198,2506,0,1336,2015,2292,9395,2650,7768,135045.0
0,2359,2200,2508,0,1337,2017,2294,9403,2652,7775,135145.0
0,2361,2202,2510,0,1338,2019,2296,9411,2654,7782,135245.0
0,2363,2204,2512,0,1339,2021,2298,9419,2656,7789,135345.0
0,2365,2206,2514,0,1340,2023,2300,9427,2658,7796,135445.0
0,2367,2207,2516,0,1341,2024,2302,9434,2660,7802,135545.0
0,2369,2209,2518,0,1342,2025,2304,9442,2662,7808,135645.0
0,2371,2211,2520,0,1343,2027,2306,9450,2664,7815,135745.0
0,2373,2213,2522,0,1344,2029,2308,9458,2666,7822,135845.0
0,2375,2215,2524,0,1345,2031,2310,9466,2668,7829,135945.0
0,2377,2217,2526,0,1346,2033,2312,9474,2670,7836,136045.0
0,2379,2219,2528,0,1347,2035,2314,9482,2672,7843,136145.0
0,2381,2221,2530,0,1348,2037,2316,9490,2674,7850,136245.0
0,2383,2223,2532,0,1349,2039,2318,9498,2676,7857,136345.0
0,2385,2225,2534,0,1350,2041,2320,9506,2678,7864,136445.0
0,2387,2227,2536,0,1351,2043,2322,9514,2680,7871,136545.0
0,2389,2229,2538,0,1352,2045,2324,9522,2682,7878,136645.0
0,2391,2231,2540,0,1353,2047,2326,9530,2684,7885,136745.0
0,2393,2233,2542,0,1354,2049,2328,9538,2686,7892,136845.0
0,2395,2235,2544,0,1355,2051,2330,9546,2688,7899,136945.0
0,2397,2237,2546,0,1356,2053,2332,9554,2690,7906,137045.0
0,2399,2239,2548,0,1357,2055,2334,9562,2692,7913,137145.0
