receive_from_2,receive_from_3,receive_from_4,receive_from_5,compute_from_2,compute_from_3,compute_from_4,compute_from_5,total_receive,total_send,total_compute,timestamp
2166,0,2351,2350,1964,0,2128,2151,9073,2441,8275,124611.0
2168,0,2353,2350,1964,0,2128,2151,9079,2443,8275,124711.0
2170,0,2355,2350,1964,0,2128,2151,9085,2445,8275,124811.0
2172,0,2357,2350,1964,0,2128,2151,9091,2447,8275,124911.0
2174,0,2359,2351,1964,0,2128,2151,9098,2449,8275,125011.0
2176,0,2361,2351,1964,0,2128,2151,9104,2451,8275,125111.0
2178,0,2363,2351,1964,0,2128,2151,9110,2453,8275,125211.0
2180,0,2365,2351,1964,0,2128,2151,9116,2455,8275,125311.0
2182,0,2367,2351,1964,0,2128,2151,9122,2457,8275,125411.0
2184,0,2369,2351,1964,0,2128,2151,9128,2459,8275,125511.0
2186,0,2371,2351,1964,0,2128,2151,9134,2461,8275,125611.0
2188,0,2373,2351,1964,0,2128,2151,9140,2463,8275,125711.0
2190,0,2375,2351,1965,0,2129,2151,9146,2465,8278,125811.0
2192,0,2377,2351,1966,0,2130,2151,9152,2467,8281,125911.0
2194,0,2379,2351,1966,0,2130,2151,9158,2469,8281,126011.0
2196,0,2381,2351,1966,0,2130,2151,9164,2471,8281,126111.0
2198,0,2383,2351,1966,0,2130,2151,9170,2473,8281,126211.0
2200,0,2385,2351,1967,0,2131,2151,9176,2475,8284,126311.0
2202,0,2387,2352,1969,0,2133,2151,9183,2477,8290,126411.0
2204,0,2389,2352,1971,0,2134,2151,9189,2479,8294,126511.0
2206,0,2391,2352,1973,0,2136,2151,9195,2481,8300,126611.0
2208,0,2393,2352,1975,0,2137,2151,9201,2483,8305,126711.0
2210,0,2395,2352,1977,0,2139,2151,9206,2485,8309,126811.0
2212,0,2396,2352,1979,0,2139,2151,9211,2487,8313,126911.0
2214,0,2398,2352,1981,0,2141,2151,9217,2489,8319,127011.0
2216,0,2400,2352,1983,0,2143,2151,9223,2491,8325,127111.0
2218,0,2402,2352,1985,0,2145,2151,9229,2493,8331,127211.0
2220,0,2404,2353,1987,0,2147,2151,9236,2495,8337,127311.0
2222,0,2406,2355,1989,0,2149,2151,9244,2497,8343,127411.0
2224,0,2408,2357,1991,0,2151,2151,9252,2499,8349,127511.0
2226,0,2410,2359,1993,0,2153,2151,9260,2501,8355,127611.0
2228,0,2412,2361,1995,0,2155,2151,9268,2503,8361,127711.0
2230,0,2414,2363,1997,0,2157,2151,9276,2505,8367,127811.0
2232,0,2416,2365,1999,0,2159,2151,9284,2507,8373,127911.0
2234,0,2418,2367,2001,0,2161,2151,9292,2509,8379,128011.0
2236,0,2420,2369,2003,0,2163,2151,9300,2511,8385,128111.0
2238,0,2422,2370,2005,0,2165,2151,9307,2513,8391,128211.0
2240,0,2424,2372,2007,0,2167,2152,9315,2515,8398,128311.0
2242,0,2426,2374,2009,0,2169,2153,9323,2517,8405,128411.0
2244,0,2428,2375,2011,0,2171,2154,9330,2519,8412,128511.0
2246,0,2430,2377,2013,0,2173,2155,9338,2521,8419,128611.0
2248,0,2432,2379,2015,0,2175,2156,9346,2523,8426,128711.0
2250,0,2434,2381,2017,0,2177,2157,9354,2525,8433,128811.0
2252,0,2436,2381,2019,0,2179,2157,9360,2527,8439,128911.0
2254,0,2438,2383,2021,0,2181,2159,9368,2529,8447,129011.0
2256,0,2440,2384,2023,0,2183,2160,9375,2531,8454,129111.0
2258,0,2442,2384,2025,0,2185,2160,9381,2533,8460,129211.0
2259,0,2444,2386,2025,0,2187,2161,9388,2535,8465,129311.0
2261,0,2446,2386,2027,0,2189,2161,9394,2537,8471,129411.0
2263,0,2448,2388,2029,0,2191,2162,9402,2539,8478,129511.0
2265,0,2450,2390,2031,0,2193,2164,9410,2541,8486,129611.0
2267,0,2452,2392,2033,0,2195,2166,9418,2543,8494,129711.0
2269,0,2454,2394,2035,0,2197,2167,9426,2545,8501,129811.0
2271,0,2456,2396,2037,0,2199,2169,9434,2547,8509,129911.0
2273,0,2458,2398,2039,0,2201,2171,9442,2549,8517,130011.0
2275,0,2460,2399,2041,0,2203,2172,9449,2551,8524,130111.0
2277,0,2462,2400,2043,0,2205,2172,9456,2553,8530,130211.0
2279,0,2464,2402,2045,0,2207,2173,9464,2555,8537,130311.0
2281,0,2466,2404,2047,0,2209,2175,9472,2557,8545,130411.0
2283,0,2468,2406,2048,0,2210,2176,9480,2559,8549,130511.0
2285,0,2470,2408,2050,0,2212,2178,9488,2561,8557,130611.0
2287,0,2472,2408,2052,0,2214,2178,9494,2563,8563,130711.0
2289,0,2474,2408,2054,0,2216,2178,9500,2565,8569,130811.0
2291,0,2476,2408,2056,0,2218,2178,9506,2567,8575,130911.0
2293,0,2478,2409,2058,0,2220,2178,9513,2569,8581,131011.0
2295,0,2480,2409,2060,0,2222,2178,9519,2571,8587,131111.0
2297,0,2482,2410,2061,0,2223,2179,9526,2573,8591,131211.0
2299,0,2484,2410,2063,0,2225,2179,9532,2575,8597,131311.0
2301,0,2486,2410,2065,0,2227,2179,9538,2577,8603,131411.0
2303,0,2488,2410,2067,0,2229,2179,9544,2579,8609,131511.0
2305,0,2490,2410,2069,0,2231,2179,9550,2581,8615,131611.0
2307,0,2492,2410,2071,0,2233,2179,9556,2583,8621,131711.0
