receive_from_2,receive_from_3,receive_from_4,receive_from_5,compute_from_2,compute_from_3,compute_from_4,compute_from_5,total_receive,total_send,total_compute,timestamp
62,212,120,170,61,206,119,167,564,217,553,13401.0
64,214,122,172,63,208,121,169,572,219,561,13501.0
66,216,124,174,65,210,123,171,580,221,569,13601.0
67,218,126,176,66,212,125,173,587,223,576,13701.0
69,220,128,178,67,214,127,175,595,225,583,13801.0
70,222,130,179,68,216,129,176,601,227,589,13901.0
72,224,132,181,69,218,131,177,609,229,595,14001.0
74,226,134,183,71,219,133,179,617,231,602,14101.0
75,228,136,185,71,221,135,181,624,233,608,14201.0
77,230,138,186,73,223,137,181,631,235,614,14301.0
79,232,140,188,75,225,139,183,639,237,622,14401.0
81,234,142,190,77,227,141,185,647,239,630,14501.0
83,236,144,192,78,228,142,186,655,241,634,14601.0
85,238,146,194,80,230,144,188,663,243,642,14701.0
86,239,148,196,81,231,146,190,669,245,648,14801.0
88,241,150,198,82,232,148,192,677,247,654,14901.0
90,243,152,200,84,234,150,194,685,249,662,15001.0
92,245,154,202,86,236,152,196,693,251,670,15101.0
94,247,156,204,88,238,154,198,701,253,678,15201.0
96,249,158,206,90,240,156,200,709,255,686,15301.0
98,251,160,208,92,242,158,202,717,257,694,15401.0
100,253,162,210,94,244,160,204,725,259,702,15501.0
102,255,164,212,96,246,162,206,733,261,710,15601.0
104,257,166,214,98,248,164,208,741,263,718,15701.0
106,259,168,216,100,250,166,210,749,265,726,15801.0
108,261,170,218,102,252,168,212,757,267,734,15901.0
110,263,172,220,104,254,170,214,765,269,742,16001.0
112,265,174,222,106,256,172,216,773,271,750,16101.0
113,267,176,224,106,258,174,218,780,273,756,16201.0
115,269,178,225,108,260,176,219,787,275,763,16301.0
117,271,180,227,110,262,178,220,795,277,770,16401.0
119,273,182,229,112,264,180,222,803,279,778,16501.0
121,274,184,231,114,264,182,224,810,281,784,16601.0
123,276,186,233,116,266,184,226,818,283,792,16701.0
125,278,188,235,118,268,186,228,826,285,800,16801.0
127,280,190,237,120,270,188,230,834,287,808,16901.0
129,282,192,239,122,272,190,232,842,289,816,17001.0
131,284,194,241,124,274,192,234,850,291,824,17101.0
132,285,196,243,125,275,194,236,856,293,830,17201.0
134,287,198,245,126,276,196,238,864,295,836,17301.0
136,289,200,246,127,277,198,239,871,297,841,17401.0
138,291,202,248,128,278,198,239,879,299,843,17501.0
140,293,204,250,130,280,200,241,887,301,851,17601.0
142,295,206,252,132,282,202,243,895,303,859,17701.0
144,297,208,254,134,284,204,245,903,305,867,17801.0
146,299,210,256,136,286,206,247,911,307,875,17901.0
148,301,212,258,138,288,208,249,919,309,883,18001.0
150,303,214,260,140,290,210,251,927,311,891,18101.0
151,304,216,261,140,290,212,252,932,313,894,18201.0
153,306,218,263,142,292,214,253,940,315,901,18301.0
154,308,220,265,143,294,216,255,947,317,908,18401.0
156,310,222,267,144,296,218,257,955,319,915,18501.0
158,312,224,269,146,298,220,259,963,321,923,18601.0
160,314,226,271,148,300,222,261,971,323,931,18701.0
162,316,228,273,150,302,224,263,979,325,939,18801.0
164,318,229,275,152,304,225,265,986,327,946,18901.0
166,320,231,277,154,306,226,267,994,329,953,19001.0
168,322,233,279,156,308,228,269,1002,331,961,19101.0
170,324,235,281,158,310,230,271,1010,333,969,19201.0
172,326,237,283,160,312,232,273,1018,335,977,19301.0
174,328,239,285,162,314,234,275,1026,337,985,19401.0
176,330,241,287,164,316,236,277,1034,339,993,19501.0
178,332,243,288,166,318,238,278,1041,341,1000,19601.0
180,334,245,290,168,320,240,279,1049,343,1007,19701.0
182,336,247,292,170,322,242,281,1057,345,1015,19801.0
184,338,249,294,172,324,244,283,1065,347,1023,19901.0
186,340,251,296,174,326,246,285,1073,349,1031,20001.0
188,342,253,298,176,328,248,287,1081,351,1039,20101.0
190,344,255,299,178,330,250,287,1088,353,1045,20201.0
192,346,257,301,180,332,252,288,1096,355,1052,20301.0
194,348,259,303,182,334,254,290,1104,357,1060,20401.0
196,350,261,305,184,336,256,292,1112,359,1068,20501.0
198,352,263,307,186,338,258,294,1120,361,1076,20601.0
200,354,265,309,188,340,260,296,1128,363,1084,20701.0
202,356,267,311,190,342,262,298,1136,365,1092,20801.0
204,358,269,313,192,344,264,300,1144,367,1100,20901.0
206,360,271,315,194,346,266,302,1152,369,1108,21001.0
208,361,273,317,196,347,268,304,1159,371,1115,21101.0
210,363,275,319,198,348,270,306,1167,373,1122,21201.0
212,365,277,321,200,350,272,308,1175,375,1130,21301.0
214,367,279,323,202,352,274,310,1183,377,1138,21401.0
216,369,281,325,204,354,276,312,1191,379,1146,21501.0
218,371,283,327,206,356,278,314,1199,381,1154,21601.0
220,373,285,329,208,358,280,316,1207,383,1162,21701.0
222,375,287,331,210,360,282,318,1215,385,1170,21801.0
223,376,289,333,211,361,284,320,1221,387,1176,21901.0
225,378,291,335,212,362,286,322,1229,389,1182,22001.0
227,380,293,337,214,364,288,324,1237,391,1190,22101.0
229,382,295,339,216,366,289,326,1245,393,1197,22201.0
231,384,297,341,218,368,291,328,1253,395,1205,22301.0
233,386,298,343,220,370,291,330,1260,397,1211,22401.0
234,388,300,345,221,372,293,332,1267,399,1218,22501.0
236,390,302,347,222,374,295,334,1275,401,1225,22601.0
238,392,304,349,224,376,297,336,1283,403,1233,22701.0
240,394,306,351,226,378,299,338,1291,405,1241,22801.0
242,396,308,353,228,380,301,340,1299,407,1249,22901.0
244,398,310,355,230,382,303,342,1307,409,1257,23001.0
246,400,312,357,232,384,305,344,1315,411,1265,23101.0
248,402,314,359,234,386,307,346,1323,413,1273,23201.0
250,404,316,361,236,388,309,348,1331,415,1281,23301.0
252,406,317,363,238,390,310,350,1338,417,1288,23401.0
254,408,319,365,240,392,311,352,1346,419,1295,23501.0
256,410,321,367,242,394,313,354,1354,421,1303,23601.0
258,412,322,369,244,396,313,356,1361,423,1309,23701.0
260,414,324,371,246,398,315,358,1369,425,1317,23801.0
262,416,326,373,248,400,317,360,1377,427,1325,23901.0
264,418,328,375,250,402,319,362,1385,429,1333,24001.0
266,420,330,377,252,404,321,364,1393,431,1341,24101.0
268,422,332,379,254,406,323,366,1401,433,1349,24201.0
270,424,334,381,256,408,325,368,1409,435,1357,24301.0
272,426,336,383,258,410,327,370,1417,437,1365,24401.0
274,428,338,385,260,412,329,372,1425,439,1373,24501.0
276,430,340,386,262,414,331,372,1432,441,1379,24601.0
278,432,342,388,264,416,333,374,1440,443,1387,24701.0
280,434,344,390,266,418,335,376,1448,445,1395,24801.0
282,436,346,392,268,420,337,378,1456,447,1403,24901.0
284,438,348,394,269,422,339,380,1464,449,1410,25001.0
286,440,350,396,271,424,341,382,1472,451,1418,25101.0
288,442,352,398,273,426,343,384,1480,453,1426,25201.0
290,444,354,400,275,428,345,386,1488,455,1434,25301.0
292,446,356,402,277,430,347,388,1496,457,1442,25401.0
294,448,358,404,279,432,349,390,1504,459,1450,25501.0
296,450,360,406,281,434,351,392,1512,461,1458,25601.0
298,452,362,408,283,436,353,394,1520,463,1466,25701.0
300,454,364,410,285,438,355,396,1528,465,1474,25801.0
302,456,366,412,287,440,357,398,1536,467,1482,25901.0
304,458,368,414,289,442,359,400,1544,469,1490,26001.0
306,460,370,416,291,444,361,402,1552,471,1498,26101.0
308,462,372,418,293,446,363,404,1560,473,1506,26201.0
310,464,374,420,295,448,365,406,1568,475,1514,26301.0
312,466,376,422,297,450,367,408,1576,477,1522,26401.0
313,467,378,424,297,450,369,410,1582,479,1526,26501.0
315,469,380,426,299,452,371,412,1590,481,1534,26601.0
317,471,382,427,301,454,373,412,1597,483,1540,26701.0
319,473,383,429,303,456,374,414,1604,485,1547,26801.0
321,475,385,431,305,458,375,416,1612,487,1554,26901.0
323,477,387,433,307,460,377,418,1620,489,1562,27001.0
325,479,389,435,309,462,379,420,1628,491,1570,27101.0
327,481,391,437,311,464,381,422,1636,493,1578,27201.0
329,483,393,439,313,466,383,424,1644,495,1586,27301.0
331,485,395,441,315,468,385,426,1652,497,1594,27401.0
333,487,397,443,317,470,387,428,1660,499,1602,27501.0
335,489,399,445,319,472,389,430,1668,501,1610,27601.0
337,491,401,447,321,474,391,432,1676,503,1618,27701.0
339,493,403,449,323,476,393,434,1684,505,1626,27801.0
