receive_from_2,receive_from_3,receive_from_4,receive_from_5,compute_from_2,compute_from_3,compute_from_4,compute_from_5,total_receive,total_send,total_compute,timestamp
0,59,59,58,0,58,58,54,234,59,227,5518.0
0,61,61,60,0,60,60,56,242,61,235,5618.0
0,63,63,62,0,62,62,58,250,63,243,5718.0
0,65,65,64,0,64,64,60,258,65,251,5818.0
0,67,67,66,0,66,66,62,266,67,259,5918.0
0,69,69,68,0,68,68,64,273,69,266,6018.0
0,71,71,70,0,70,70,66,281,71,273,6118.0
0,73,73,72,0,72,72,68,289,73,281,6218.0
0,75,75,74,0,74,74,70,297,75,289,6318.0
0,77,77,76,0,76,76,72,305,77,297,6418.0
0,79,79,78,0,78,78,74,313,79,305,6518.0
0,81,81,80,0,80,80,76,321,81,313,6618.0
0,83,83,82,0,82,82,78,329,83,321,6718.0
0,85,85,84,0,84,84,80,337,85,329,6818.0
0,86,87,86,0,85,86,82,344,87,336,6918.0
0,88,89,88,0,86,88,84,352,89,343,7018.0
0,90,91,90,0,88,90,86,360,91,351,7118.0
0,92,93,92,0,90,92,88,368,93,359,7218.0
0,94,95,94,0,92,94,90,376,95,367,7318.0
0,96,97,96,0,94,96,92,384,97,375,7418.0
0,98,99,98,0,96,98,94,392,99,383,7518.0
0,100,101,100,0,98,100,96,400,101,391,7618.0
0,102,103,102,0,100,102,98,408,103,399,7718.0
0,104,105,104,0,102,104,100,416,105,407,7818.0
0,106,107,106,0,104,106,102,424,107,415,7918.0
0,108,109,108,0,106,108,104,432,109,423,8018.0
0,110,111,110,0,108,110,106,440,111,431,8118.0
0,112,113,112,0,110,112,108,448,113,439,8218.0
0,114,115,114,0,112,114,110,456,115,447,8318.0
0,116,117,116,0,114,116,112,464,117,455,8418.0
0,118,119,118,0,116,118,114,472,119,463,8518.0
0,120,121,120,0,118,120,116,480,121,471,8618.0
0,122,123,122,0,120,122,118,488,123,479,8718.0
0,124,125,124,0,122,124,120,496,125,487,8818.0
0,126,127,126,0,124,126,122,504,127,495,8918.0
0,128,129,128,0,126,128,124,512,129,503,9018.0
0,130,131,130,0,128,130,126,520,131,511,9118.0
0,132,133,132,0,130,132,128,528,133,519,9218.0
0,134,135,134,0,132,134,130,535,135,525,9318.0
0,136,137,136,0,134,136,132,543,137,533,9418.0
0,138,139,138,0,136,138,134,551,139,541,9518.0
0,140,141,140,0,138,140,136,559,141,549,9618.0
0,142,143,142,0,140,142,138,567,143,557,9718.0
0,144,145,144,0,142,144,140,575,145,565,9818.0
0,146,147,146,0,144,146,142,583,147,573,9918.0
0,148,149,148,0,146,148,144,590,149,579,10018.0
0,150,151,150,0,148,150,146,598,151,587,10118.0
0,152,153,152,0,150,152,148,606,153,595,10218.0
0,154,155,154,0,152,154,150,614,155,603,10318.0
0,156,157,156,0,154,156,152,622,157,611,10418.0
0,158,159,158,0,156,158,154,630,159,619,10518.0
0,160,161,160,0,158,160,156,638,161,627,10618.0
0,162,163,162,0,160,162,158,646,163,635,10718.0
0,164,165,164,0,162,164,160,654,165,643,10818.0
0,166,167,166,0,164,166,162,662,167,651,10918.0
0,168,169,168,0,166,168,164,670,169,659,11018.0
0,170,171,170,0,168,170,166,678,171,667,11118.0
0,172,173,172,0,170,172,168,685,173,674,11218.0
0,174,175,174,0,172,174,170,693,175,681,11318.0
0,176,177,176,0,174,176,172,701,177,689,11418.0
0,178,179,178,0,176,178,174,709,179,697,11518.0
0,180,181,180,0,178,180,176,717,181,705,11618.0
0,182,183,182,0,180,182,178,725,183,713,11718.0
0,184,185,184,0,182,184,180,733,185,721,11818.0
0,186,187,185,0,184,186,180,740,187,727,11918.0
0,188,189,187,0,186,188,182,748,189,735,12018.0
0,190,191,189,0,188,190,184,756,191,743,12118.0
0,192,193,191,0,190,192,186,764,193,751,12218.0
0,194,195,193,0,192,193,188,772,195,758,12318.0
0,196,197,195,0,194,195,190,780,197,766,12418.0
0,198,199,197,0,196,197,192,788,199,774,12518.0
0,200,201,199,0,198,199,194,796,201,782,12618.0
0,202,203,201,0,200,201,196,804,203,790,12718.0
0,204,205,203,0,202,203,198,812,205,798,12818.0
0,206,207,205,0,204,205,200,820,207,806,12918.0
0,208,209,207,0,206,207,202,828,209,814,13018.0
0,210,211,209,0,208,209,204,836,211,822,13118.0
0,212,213,211,0,210,211,206,844,213,830,13218.0
0,214,215,213,0,212,213,208,852,215,838,13318.0
0,216,217,215,0,214,215,209,860,217,845,13418.0
0,218,219,217,0,216,217,211,868,219,853,13518.0
0,220,221,219,0,218,219,213,876,221,861,13618.0
0,222,223,221,0,220,221,215,884,223,869,13718.0
