receive_from_2,receive_from_3,receive_from_4,receive_from_5,compute_from_2,compute_from_3,compute_from_4,compute_from_5,total_receive,total_send,total_compute,timestamp
21,0,65,31,16,0,60,18,185,70,160,6033.0
22,0,67,31,17,0,62,18,190,72,165,6133.0
23,0,69,31,18,0,64,18,195,74,170,6233.0
24,0,71,31,19,0,66,18,200,76,175,6333.0
24,0,73,31,19,0,68,18,204,78,179,6433.0
24,0,75,31,19,0,70,18,208,80,183,6533.0
25,0,77,31,20,0,72,18,213,82,188,6633.0
25,0,79,31,20,0,74,18,217,84,192,6733.0
26,0,80,31,21,0,75,18,221,86,196,6833.0
27,0,82,31,22,0,76,18,226,88,200,6933.0
27,0,84,31,22,0,78,18,230,90,204,7033.0
27,0,86,32,22,0,80,19,235,92,209,7133.0
28,0,88,32,23,0,82,19,240,94,214,7233.0
29,0,90,32,24,0,84,19,245,96,219,7333.0
31,0,92,33,26,0,86,20,252,98,226,7433.0
33,0,94,33,28,0,88,20,258,100,232,7533.0
35,0,95,33,30,0,88,20,263,102,236,7633.0
37,0,97,33,32,0,90,20,269,104,242,7733.0
39,0,99,35,34,0,92,22,277,106,250,7833.0
41,0,101,35,36,0,94,22,283,108,256,7933.0
43,0,103,35,38,0,96,22,289,110,262,8033.0
45,0,105,36,40,0,98,23,296,112,269,8133.0
47,0,107,37,42,0,100,24,303,114,276,8233.0
49,0,109,37,44,0,102,24,309,116,282,8333.0
51,0,111,38,46,0,104,25,316,118,289,8433.0
53,0,113,38,48,0,106,25,322,120,295,8533.0
55,0,115,39,50,0,108,26,329,122,302,8633.0
57,0,117,39,52,0,110,26,335,124,308,8733.0
59,0,118,40,53,0,110,27,341,126,311,8833.0
61,0,120,40,55,0,112,27,347,128,317,8933.0
63,0,122,42,57,0,114,29,355,130,325,9033.0
65,0,124,44,59,0,116,31,363,132,333,9133.0
67,0,125,45,61,0,117,31,369,134,338,9233.0
69,0,127,47,63,0,118,33,377,136,345,9333.0
71,0,129,49,65,0,120,35,385,138,353,9433.0
73,0,131,51,67,0,122,37,393,140,361,9533.0
75,0,133,53,69,0,124,39,401,142,369,9633.0
77,0,135,53,71,0,126,39,407,144,375,9733.0
79,0,137,53,73,0,128,39,413,146,381,9833.0
81,0,139,53,75,0,130,39,419,148,387,9933.0
83,0,141,53,77,0,132,39,425,150,393,10033.0
85,0,143,53,79,0,134,39,431,152,399,10133.0
87,0,145,53,81,0,136,39,437,154,405,10233.0
89,0,147,54,83,0,138,40,444,156,412,10333.0
91,0,149,56,85,0,140,42,452,158,420,10433.0
93,0,151,58,87,0,142,43,460,160,427,10533.0
95,0,153,60,88,0,143,45,468,162,432,10633.0
97,0,155,62,90,0,145,47,476,164,440,10733.0
99,0,157,64,92,0,147,49,484,166,448,10833.0
101,0,159,66,94,0,149,51,492,168,456,10933.0
103,0,161,68,96,0,151,53,500,170,464,11033.0
105,0,163,70,98,0,153,55,508,172,472,11133.0
107,0,165,72,100,0,155,57,516,174,480,11233.0
109,0,167,74,102,0,157,59,524,176,488,11333.0
111,0,169,76,104,0,159,61,532,178,496,11433.0
113,0,171,78,106,0,161,63,540,180,504,11533.0
114,0,173,80,107,0,163,65,547,182,511,11633.0
116,0,175,82,108,0,165,66,555,184,517,11733.0
118,0,177,84,110,0,167,68,563,186,525,11833.0
120,0,179,86,112,0,169,70,571,188,533,11933.0
122,0,181,88,114,0,171,71,579,190,540,12033.0
124,0,183,90,116,0,173,73,587,192,548,12133.0
126,0,185,92,118,0,175,75,595,194,556,12233.0
128,0,187,94,120,0,177,77,603,196,564,12333.0
130,0,189,96,122,0,179,79,611,198,572,12433.0
132,0,191,98,124,0,181,81,619,200,580,12533.0
134,0,193,100,126,0,183,83,626,202,586,12633.0
136,0,195,102,128,0,185,85,634,204,594,12733.0
138,0,196,104,130,0,186,87,641,206,601,12833.0
140,0,198,106,132,0,187,89,649,208,608,12933.0
142,0,200,108,134,0,188,91,657,210,615,13033.0
144,0,202,110,136,0,190,93,665,212,623,13133.0
146,0,204,112,138,0,192,95,673,214,631,13233.0
148,0,206,114,140,0,194,97,681,216,639,13333.0
150,0,207,116,142,0,194,99,688,218,645,13433.0
152,0,209,118,144,0,196,101,696,220,653,13533.0
154,0,211,120,146,0,198,103,704,222,661,13633.0
156,0,213,122,148,0,200,105,712,224,669,13733.0
158,0,215,124,150,0,202,107,720,226,677,13833.0
160,0,217,126,152,0,204,109,728,228,685,13933.0
162,0,219,128,154,0,206,111,736,230,693,14033.0
164,0,221,130,156,0,208,113,744,232,701,14133.0
166,0,223,132,158,0,210,115,752,234,709,14233.0
168,0,225,134,160,0,212,117,760,236,717,14333.0
170,0,227,136,161,0,214,119,768,238,724,14433.0
172,0,229,138,163,0,216,121,776,240,732,14533.0
174,0,231,140,165,0,218,123,784,242,740,14633.0
176,0,233,142,167,0,220,125,792,244,748,14733.0
178,0,235,144,169,0,222,127,800,246,756,14833.0
180,0,237,146,171,0,223,129,808,248,763,14933.0
182,0,239,148,173,0,225,131,816,250,771,15033.0
184,0,241,150,175,0,227,133,824,252,779,15133.0
186,0,243,152,177,0,229,135,832,254,787,15233.0
188,0,245,154,179,0,231,137,840,256,795,15333.0
190,0,247,156,181,0,233,139,848,258,803,15433.0
191,0,249,158,182,0,235,141,855,260,810,15533.0
192,0,251,160,182,0,237,143,862,262,816,15633.0
194,0,253,162,183,0,239,145,870,264,823,15733.0
196,0,255,164,185,0,241,147,878,266,831,15833.0
198,0,257,166,187,0,243,149,886,268,839,15933.0
200,0,259,168,189,0,245,151,894,270,846,16033.0
202,0,261,170,191,0,247,153,902,272,854,16133.0
204,0,263,172,193,0,249,155,910,274,862,16233.0
206,0,265,174,195,0,251,157,918,276,870,16333.0
208,0,267,176,197,0,253,159,926,278,878,16433.0
210,0,269,178,199,0,255,161,934,280,886,16533.0
212,0,271,180,201,0,257,163,942,282,894,16633.0
214,0,273,182,203,0,259,165,950,284,902,16733.0
216,0,275,184,205,0,261,167,958,286,910,16833.0
218,0,277,186,207,0,263,169,966,288,918,16933.0
