receive_from_2,receive_from_3,receive_from_4,receive_from_5,compute_from_2,compute_from_3,compute_from_4,compute_from_5,total_receive,total_send,total_compute,timestamp
346,380,0,404,339,375,0,107,1432,408,1117,22968.0
348,382,0,406,341,377,0,107,1440,410,1123,23068.0
350,384,0,408,343,379,0,107,1448,412,1129,23168.0
352,386,0,410,345,381,0,107,1456,414,1135,23268.0
354,388,0,412,347,383,0,107,1464,416,1141,23368.0
356,390,0,414,349,385,0,107,1472,418,1147,23468.0
358,392,0,416,351,387,0,107,1480,420,1153,23568.0
360,394,0,418,353,389,0,107,1488,422,1159,23668.0
362,396,0,420,355,391,0,107,1496,424,1165,23768.0
364,398,0,422,357,393,0,107,1504,426,1171,23868.0
366,400,0,424,359,395,0,107,1512,428,1177,23968.0
368,402,0,426,361,397,0,107,1520,430,1183,24068.0
370,404,0,428,363,399,0,107,1528,432,1189,24168.0
372,406,0,430,365,401,0,107,1536,434,1195,24268.0
374,408,0,432,367,403,0,107,1544,436,1201,24368.0
376,410,0,434,369,405,0,107,1552,438,1207,24468.0
378,412,0,436,371,407,0,107,1560,440,1213,24568.0
380,414,0,438,373,409,0,107,1568,442,1219,24668.0
382,416,0,440,375,411,0,107,1576,444,1225,24768.0
384,418,0,442,377,413,0,107,1584,446,1231,24868.0
386,420,0,444,379,415,0,107,1592,448,1237,24968.0
388,422,0,446,381,417,0,107,1600,450,1243,25068.0
390,424,0,448,383,419,0,108,1607,452,1248,25168.0
392,426,0,450,385,421,0,108,1615,454,1254,25268.0
394,428,0,452,387,423,0,108,1623,456,1260,25368.0
396,430,0,454,389,425,0,108,1631,458,1266,25468.0
398,432,0,456,391,427,0,108,1639,460,1272,25568.0
400,434,0,458,393,429,0,108,1647,462,1278,25668.0
402,436,0,460,395,431,0,108,1655,464,1284,25768.0
404,438,0,462,397,433,0,108,1663,466,1290,25868.0
406,440,0,464,399,435,0,108,1671,468,1296,25968.0
408,442,0,466,401,437,0,108,1679,470,1302,26068.0
410,444,0,468,403,439,0,108,1687,472,1308,26168.0
412,446,0,470,405,441,0,108,1695,474,1314,26268.0
414,448,0,472,407,443,0,108,1703,476,1320,26368.0
416,449,0,474,409,443,0,109,1710,478,1325,26468.0
418,451,0,476,411,445,0,109,1718,480,1331,26568.0
420,453,0,478,413,447,0,109,1726,482,1337,26668.0
422,455,0,480,415,449,0,109,1734,484,1343,26768.0
424,457,0,482,416,450,0,109,1742,486,1346,26868.0
426,459,0,484,418,452,0,109,1750,488,1352,26968.0
428,461,0,486,420,454,0,109,1758,490,1358,27068.0
430,463,0,488,422,456,0,109,1766,492,1364,27168.0
432,465,0,490,424,458,0,109,1774,494,1370,27268.0
434,467,0,492,426,460,0,109,1782,496,1376,27368.0
436,469,0,494,428,462,0,109,1790,498,1382,27468.0
438,470,0,496,430,463,0,110,1797,500,1388,27568.0
440,472,0,498,432,464,0,110,1805,502,1393,27668.0
442,474,0,500,434,466,0,110,1813,504,1399,27768.0
444,476,0,502,436,468,0,110,1821,506,1405,27868.0
446,478,0,504,438,470,0,110,1829,508,1411,27968.0
448,480,0,506,440,472,0,110,1837,510,1417,28068.0
450,482,0,508,442,474,0,110,1845,512,1423,28168.0
452,484,0,510,444,476,0,110,1853,514,1429,28268.0
454,486,0,512,446,478,0,110,1861,516,1435,28368.0
456,488,0,514,448,480,0,110,1869,518,1441,28468.0
458,490,0,516,450,482,0,110,1877,520,1447,28568.0
460,492,0,518,452,484,0,110,1885,522,1453,28668.0
462,494,0,520,454,486,0,110,1893,524,1459,28768.0
464,496,0,522,456,488,0,110,1901,526,1465,28868.0
466,498,0,524,458,490,0,110,1909,528,1471,28968.0
468,500,0,526,460,492,0,110,1917,530,1477,29068.0
470,502,0,528,462,494,0,110,1925,532,1483,29168.0
472,504,0,530,464,496,0,110,1933,534,1489,29268.0
474,506,0,532,466,498,0,110,1941,536,1495,29368.0
476,508,0,534,468,500,0,110,1949,538,1501,29468.0
478,510,0,536,470,502,0,110,1957,540,1507,29568.0
480,512,0,538,472,504,0,110,1965,542,1513,29668.0
482,514,0,540,474,506,0,110,1973,544,1519,29768.0
484,516,0,542,476,508,0,110,1981,546,1525,29868.0
486,518,0,544,478,510,0,110,1989,548,1531,29968.0
488,520,0,546,480,512,0,110,1997,550,1537,30068.0
490,522,0,548,482,514,0,110,2005,552,1543,30168.0
492,524,0,550,484,516,0,110,2013,554,1549,30268.0
494,526,0,552,486,518,0,110,2021,556,1555,30368.0
496,528,0,554,488,520,0,110,2029,558,1561,30468.0
498,530,0,556,490,522,0,110,2037,560,1567,30568.0
500,532,0,558,492,524,0,110,2045,562,1573,30668.0
502,534,0,560,494,526,0,110,2053,564,1579,30768.0
504,536,0,562,496,528,0,110,2061,566,1585,30868.0
506,538,0,564,498,530,0,110,2069,568,1591,30968.0
508,540,0,566,500,532,0,110,2077,570,1597,31068.0
510,542,0,568,502,534,0,110,2085,572,1603,31168.0
512,544,0,570,504,536,0,110,2093,574,1609,31268.0
514,546,0,572,506,538,0,110,2101,576,1615,31368.0
516,548,0,574,508,540,0,110,2109,578,1621,31468.0
518,550,0,576,510,542,0,110,2117,580,1627,31568.0
520,552,0,578,512,544,0,110,2125,582,1633,31668.0
522,554,0,580,514,546,0,110,2133,584,1639,31768.0
524,556,0,582,516,548,0,110,2141,586,1645,31868.0
526,558,0,584,518,550,0,110,2149,588,1651,31968.0
528,560,0,586,520,552,0,110,2157,590,1657,32068.0
530,562,0,588,522,554,0,110,2165,592,1663,32168.0
532,564,0,590,524,556,0,110,2173,594,1669,32268.0
534,566,0,592,526,558,0,110,2181,596,1675,32368.0
536,568,0,593,528,560,0,110,2188,598,1681,32468.0
538,570,0,595,530,562,0,110,2196,600,1687,32568.0
540,572,0,597,532,564,0,110,2204,602,1693,32668.0
542,574,0,599,534,566,0,110,2212,604,1699,32768.0
544,576,0,601,536,568,0,110,2220,606,1705,32868.0
546,578,0,603,538,570,0,111,2228,608,1712,32968.0
548,580,0,605,540,572,0,111,2236,610,1718,33068.0
550,582,0,607,542,574,0,111,2244,612,1724,33168.0
552,584,0,609,544,576,0,111,2252,614,1730,33268.0
553,586,0,611,544,578,0,112,2259,616,1735,33368.0
555,588,0,613,546,580,0,113,2266,618,1741,33468.0
557,590,0,615,548,582,0,113,2274,620,1746,33568.0
559,592,0,617,550,584,0,113,2282,622,1752,33668.0
561,594,0,619,552,586,0,113,2290,624,1758,33768.0
563,596,0,621,554,588,0,113,2298,626,1764,33868.0
565,597,0,623,556,588,0,114,2305,628,1769,33968.0
567,599,0,624,558,590,0,114,2312,630,1775,34068.0
569,601,0,626,560,592,0,114,2320,632,1781,34168.0
571,603,0,628,562,594,0,114,2328,634,1787,34268.0
573,605,0,630,563,595,0,114,2336,636,1790,34368.0
575,607,0,632,565,597,0,114,2344,638,1796,34468.0
577,609,0,634,567,599,0,114,2352,640,1802,34568.0
579,611,0,636,568,601,0,114,2360,642,1807,34668.0
581,613,0,638,569,603,0,114,2368,644,1812,34768.0
583,615,0,640,571,605,0,114,2376,646,1818,34868.0
585,617,0,642,573,607,0,114,2384,648,1824,34968.0
587,619,0,644,575,609,0,114,2392,650,1830,35068.0
589,621,0,646,577,611,0,114,2400,652,1836,35168.0
591,623,0,648,579,613,0,114,2408,654,1842,35268.0
593,625,0,650,581,615,0,114,2416,656,1848,35368.0
595,627,0,652,583,617,0,114,2424,658,1854,35468.0
597,629,0,654,585,619,0,114,2432,660,1860,35568.0
599,631,0,656,587,621,0,114,2440,662,1866,35668.0
601,633,0,658,589,623,0,114,2448,664,1872,35768.0
603,635,0,660,591,625,0,114,2456,666,1878,35868.0
605,637,0,662,593,627,0,114,2464,668,1884,35968.0
607,639,0,664,595,629,0,114,2472,670,1890,36068.0
609,641,0,666,597,631,0,114,2480,672,1896,36168.0
611,643,0,668,599,633,0,114,2488,674,1902,36268.0
613,645,0,670,601,635,0,114,2496,676,1908,36368.0
615,647,0,672,603,637,0,114,2504,678,1914,36468.0
617,649,0,674,605,639,0,114,2512,680,1920,36568.0
619,651,0,676,607,641,0,114,2520,682,1926,36668.0
621,653,0,678,609,643,0,114,2528,684,1932,36768.0
623,655,0,680,611,645,0,114,2536,686,1938,36868.0
625,657,0,682,613,647,0,114,2544,688,1944,36968.0
627,659,0,684,615,649,0,114,2552,690,1950,37068.0
629,661,0,686,617,651,0,114,2560,692,1956,37168.0
631,663,0,688,619,653,0,114,2568,694,1962,37268.0
633,665,0,690,621,655,0,114,2576,696,1968,37368.0
635,667,0,692,623,657,0,114,2584,698,1974,37468.0
637,669,0,694,625,659,0,114,2592,700,1980,37568.0
639,671,0,696,627,661,0,114,2600,702,1986,37668.0
641,673,0,698,629,663,0,114,2608,704,1992,37768.0
643,675,0,700,631,665,0,114,2616,706,1998,37868.0
645,677,0,702,633,667,0,114,2624,708,2004,37968.0
647,679,0,704,635,669,0,114,2632,710,2010,38068.0
649,681,0,706,637,671,0,114,2640,712,2016,38168.0
651,683,0,708,639,673,0,114,2648,714,2022,38268.0
653,685,0,710,641,675,0,114,2656,716,2028,38368.0
655,687,0,712,643,677,0,114,2664,718,2034,38468.0
657,689,0,714,645,679,0,114,2672,720,2040,38568.0
659,691,0,716,647,681,0,114,2680,722,2046,38668.0
661,693,0,718,649,683,0,114,2688,724,2052,38768.0
663,695,0,719,651,685,0,114,2695,726,2058,38868.0
665,697,0,721,653,687,0,114,2703,728,2064,38968.0
667,699,0,723,655,689,0,114,2711,730,2070,39068.0
669,701,0,725,657,691,0,114,2719,732,2076,39168.0
671,703,0,727,659,693,0,114,2727,734,2082,39268.0
673,705,0,729,661,695,0,114,2735,736,2088,39368.0
675,707,0,731,663,697,0,114,2743,738,2094,39468.0
677,709,0,733,665,699,0,114,2751,740,2100,39568.0
679,711,0,735,667,701,0,114,2759,742,2106,39668.0
681,713,0,737,669,703,0,114,2767,744,2111,39768.0
683,715,0,739,671,705,0,114,2775,746,2117,39868.0
685,717,0,741,673,707,0,114,2783,748,2123,39968.0
687,719,0,743,675,709,0,114,2791,750,2129,40068.0
689,721,0,745,677,711,0,114,2799,752,2135,40168.0
691,723,0,747,679,713,0,115,2806,754,2140,40268.0
693,725,0,749,681,715,0,115,2814,756,2146,40368.0
695,727,0,751,683,717,0,115,2822,758,2152,40468.0
697,729,0,753,685,719,0,115,2830,760,2158,40568.0
699,731,0,755,687,721,0,115,2838,762,2164,40668.0
701,733,0,757,689,723,0,115,2846,764,2170,40768.0
703,735,0,759,691,725,0,115,2854,766,2176,40868.0
705,737,0,761,693,727,0,115,2862,768,2182,40968.0
707,739,0,763,695,729,0,115,2870,770,2188,41068.0
